time,parset,var,mean,median,q025,q975,q25,q75,date
2020.13963039014,2,I1,258.7042,259,233,285,250,267,2020-02-20
2020.13963039014,2,I2,210.4348,210,188,233,203,218,2020-02-20
2020.13963039014,2,I3,74.413,74,59,90,69,80,2020-02-20
2020.13963039014,2,I_d,0.6453,0,0,3,0,1,2020-02-20
2020.13963039014,2,I_h,0.2575,0,0,2,0,0,2020-02-20
2020.13963039014,2,N,8552470.9949,8552471,8552471,8552471,8552471,8552471,2020-02-20
2020.13963039014,2,R,11.7319,12,6,19,9,14,2020-02-20
2020.13963039014,2,Rt,2.5449781586935676,2.5417275587501225,2.260804956755822,2.855903343179332,2.438060347493283,2.645782548973987,2020-02-20
2020.13963039014,2,S,8551598.6466,8551599,8551554,8551641,8551584,8551614,2020-02-20
2020.13963039014,2,tot_I,55.1918,55,41,70,50,60,2020-02-20
2020.13963039014,2,U_curr,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,U_d,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,U_s,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,X,5.305036297923541,5.30556811626476,5.188445050613514,5.422112325652119,5.263926908808261,5.345691006282954,2020-02-20
2020.13963039014,3,a_D,2e-4,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_deltaH,0.0055,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_deltaID,0.0055,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_deltaU,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_DH,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_DI,2e-4,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_DU,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_H,0.0055,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_I,56.3257,56,42,72,51,61,2020-02-20
2020.13963039014,3,a_O,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_OU,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,a_U,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,D,2e-4,0,0,0,0,0,2020-02-20
2020.13963039014,3,E,321.7897,321,278,368,306,337,2020-02-20
2020.13963039014,3,H,0.0016,0,0,0,0,0,2020-02-20
2020.13963039014,3,H_curr,0.0055,0,0,0,0,0,2020-02-20
2020.13963039014,3,H_d,1e-4,0,0,0,0,0,2020-02-20
2020.13963039014,3,H_s,0.0038,0,0,0,0,0,2020-02-20
2020.13963039014,3,I1,261.5551,261,236,288,253,270,2020-02-20
2020.13963039014,3,I2,212.8071,213,191,235,205,221,2020-02-20
2020.13963039014,3,I3,75.0937,75,60,91,70,80,2020-02-20
2020.13963039014,3,I_d,0.645,0,0,3,0,1,2020-02-20
2020.13963039014,3,I_h,0.2755,0,0,2,0,0,2020-02-20
2020.13963039014,3,N,8552470.9943,8552471,8552471,8552471,8552471,8552471,2020-02-20
2020.13963039014,3,R,11.9436,12,6,19,10,14,2020-02-20
2020.13963039014,3,Rt,2.5569096728231977,2.546887657790241,2.1689944818620743,2.9990658876249845,2.411178918723763,2.696880032277698,2020-02-20
2020.13963039014,3,S,8551586.8846,8551588,8551536,8551635,8551571,8551603,2020-02-20
2020.13963039014,3,tot_I,56.3257,56,42,72,51,61,2020-02-20
2020.13963039014,3,U_curr,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,U_d,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,U_s,0,0,0,0,0,0,2020-02-20
2020.13963039014,3,X,5.308114528849955,5.307596212552908,5.146987812774229,5.471024993640415,5.252839930779382,5.364819686443163,2020-02-20
2020.14236824093,1,a_D,0.0063,0,0,0,0,0,2020-02-21
2020.14236824093,1,a_deltaH,0.10780000000000001,0,0,1,0,0,2020-02-21
2020.14236824093,1,a_deltaID,0.1096,0,0,1,0,0,2020-02-21
2020.14236824093,1,a_deltaU,0.0016,0,0,0,0,0,2020-02-21
2020.14236824093,1,a_DH,1e-4,0,0,0,0,0,2020-02-21
2020.14236824093,1,a_DI,0.0062,0,0,0,0,0,2020-02-21
2020.14236824093,1,a_DU,0,0,0,0,0,0,2020-02-21
2020.14236824093,1,a_H,0.1097,0,0,1,0,0,2020-02-21
2020.14236824093,1,a_I,133.9694,134,110,159,126,142,2020-02-21
2020.14236824093,1,a_O,0.0018,0,0,0,0,0,2020-02-21
2020.14236824093,1,a_OU,0,0,0,0,0,0,2020-02-21
2020.14236824093,1,a_U,0.0016,0,0,0,0,0,2020-02-21
2020.14236824093,1,D,0.0065,0,0,0,0,0,2020-02-21
2020.14236824093,1,E,544.7474,544,481.975,611,522,567,2020-02-21
2020.14236824093,1,H,0.0212,0,0,0,0,0,2020-02-21
2020.14236824093,1,H_curr,0.1122,0,0,1,0,0,2020-02-21
2020.14236824093,1,H_d,0.0104,0,0,0,0,0,2020-02-21
2020.14236824093,1,H_s,0.079,0,0,1,0,0,2020-02-21
2020.14236824093,1,I1,247.3169,247,218,279,237,258,2020-02-21
2020.14236824093,1,I2,227.2283,227,202,252,218,236,2020-02-21
2020.14236824093,1,I3,142.3237,142,122,163,135,149,2020-02-21
2020.14236824093,1,I_d,3.4607,3,0,7,2,5,2020-02-21
2020.14236824093,1,I_h,1.4043,1,0,4,1,2,2020-02-21
2020.14236824093,1,N,8552470.8797,8552471,8552470,8552471,8552471,8552471,2020-02-21
2020.14236824093,1,R,65.2311,65,51,81,60,70,2020-02-21
2020.14236824093,1,Rt,2.741892860050184,2.735782789088394,2.4105634581363122,3.1082422704853983,2.6159246130878118,2.860314671758245,2020-02-21
2020.14236824093,1,S,8551239.1689,8551240,8551157,8551317,8551212,8551267,2020-02-21
2020.14236824093,1,tot_I,194.0837,194,165,225,184,204,2020-02-21
2020.14236824093,1,U_curr,0.0016,0,0,0,0,0,2020-02-21
2020.14236824093,1,U_d,6.000000000000001e-4,0,0,0,0,0,2020-02-21
2020.14236824093,1,U_s,0.001,0,0,0,0,0,2020-02-21
2020.14236824093,1,X,5.3792155720473245,5.379141731842609,5.252584645412336,5.5067815034200605,5.334341740740184,5.423655768738677,2020-02-21
2020.14236824093,2,a_D,0.005,0,0,0,0,0,2020-02-21
2020.14236824093,2,a_deltaH,0.11,0,0,1,0,0,2020-02-21
2020.14236824093,2,a_deltaID,0.1129,0,0,1,0,0,2020-02-21
2020.14236824093,2,a_deltaU,0.0024000000000000002,0,0,0,0,0,2020-02-21
2020.14236824093,2,a_DH,0,0,0,0,0,0,2020-02-21
2020.14236824093,2,a_DI,0.005,0,0,0,0,0,2020-02-21
2020.14236824093,2,a_DU,0,0,0,0,0,0,2020-02-21
2020.14236824093,2,a_H,0.1129,0,0,1,0,0,2020-02-21
2020.14236824093,2,a_I,124.032,124,101,148,116,132,2020-02-21
2020.14236824093,2,a_O,0.0029,0,0,0,0,0,2020-02-21
2020.14236824093,2,a_OU,1e-4,0,0,0,0,0,2020-02-21
2020.14236824093,2,a_U,0.0025,0,0,0,0,0,2020-02-21
2020.14236824093,2,D,0.0055,0,0,0,0,0,2020-02-21
2020.14236824093,2,E,505.0938,505,443,572,482,527,2020-02-21
2020.14236824093,2,H,0.0199,0,0,0,0,0,2020-02-21
2020.14236824093,2,H_curr,0.1146,0,0,1,0,0,2020-02-21
2020.14236824093,2,H_d,0.011,0,0,0,0,0,2020-02-21
2020.14236824093,2,H_s,0.0813,0,0,1,0,0,2020-02-21
2020.14236824093,2,I1,238.7752,239,209,269,228,249,2020-02-21
2020.14236824093,2,I2,226.5249,227,202,252,218,235,2020-02-21
2020.14236824093,2,I3,143.9016,144,123,164,137,151,2020-02-21
2020.14236824093,2,I_d,3.5192,3,0,8,2,5,2020-02-21
2020.14236824093,2,I_h,1.4047,1,0,4,1,2,2020-02-21
2020.14236824093,2,N,8552470.8775,8552471,8552470,8552471,8552471,8552471,2020-02-21
2020.14236824093,2,R,65.9781,66,51,81,61,71,2020-02-21
2020.14236824093,2,Rt,2.5750443082450003,2.566590312559499,2.2330144094222097,2.9545665374835264,2.44681088615433,2.6964502899734435,2020-02-21
2020.14236824093,2,S,8551285.6824,8551286,8551205,8551360,8551259,8551313,2020-02-21
2020.14236824093,2,tot_I,179.2238,179,151,208,169,189,2020-02-21
2020.14236824093,2,U_curr,0.0024000000000000002,0,0,0,0,0,2020-02-21
2020.14236824093,2,U_d,6.000000000000001e-4,0,0,0,0,0,2020-02-21
2020.14236824093,2,U_s,0.0018,0,0,0,0,0,2020-02-21
2020.14236824093,2,X,5.316018663158294,5.315302416263814,5.17607655087286,5.456076077461968,5.267509622702874,5.364660325770786,2020-02-21
2020.14236824093,3,a_D,0.0052,0,0,0,0,0,2020-02-21
2020.14236824093,3,a_deltaH,0.1181,0,0,1,0,0,2020-02-21
2020.14236824093,3,a_deltaID,0.1227,0,0,1,0,0,2020-02-21
2020.14236824093,3,a_deltaU,0.0026,0,0,0,0,0,2020-02-21
2020.14236824093,3,a_DH,0,0,0,0,0,0,2020-02-21
2020.14236824093,3,a_DI,0.0052,0,0,0,0,0,2020-02-21
2020.14236824093,3,a_DU,0,0,0,0,0,0,2020-02-21
2020.14236824093,3,a_H,0.1227,0,0,1,0,0,2020-02-21
2020.14236824093,3,a_I,126.1633,126,102,152,117,135,2020-02-21
2020.14236824093,3,a_O,0.0046,0,0,0,0,0,2020-02-21
2020.14236824093,3,a_OU,0,0,0,0,0,0,2020-02-21
2020.14236824093,3,a_U,0.0026,0,0,0,0,0,2020-02-21
2020.14236824093,3,D,0.0054,0,0,0,0,0,2020-02-21
2020.14236824093,3,E,512.6776,512,439,594,485,539,2020-02-21
2020.14236824093,3,H,0.0237,0,0,0,0,0,2020-02-21
2020.14236824093,3,H_curr,0.1236,0,0,1,0,0,2020-02-21
2020.14236824093,3,H_d,0.0107,0,0,0,0,0,2020-02-21
2020.14236824093,3,H_s,0.0866,0,0,1,0,0,2020-02-21
2020.14236824093,3,I1,242.1892,242,212,274,231,253,2020-02-21
2020.14236824093,3,I2,229.4381,229,205,254,221,238,2020-02-21
2020.14236824093,3,I3,144.9906,145,125,165,138,152,2020-02-21
2020.14236824093,3,I_d,3.546,3,0,8,2,5,2020-02-21
2020.14236824093,3,I_h,1.4231,1,0,4,1,2,2020-02-21
2020.14236824093,3,N,8552470.8684,8552471,8552470,8552471,8552471,8552471,2020-02-21
